,4_s1,8_s1,16_s1,32_s1,4_s2,8_s2,16_s2,32_s2,4_s3,8_s3,16_s3,32_s3
0,1.453897099745901,1.398045351630763,1.4268565805334794,1.46011021262721,1.3912246290006136,1.428243216715361,1.415700548573544,1.4452936900289435,1.395816307318838,1.420640932886224,1.4116381406784058,1.427482052853233
1,1.3790066869635331,1.3728194801430953,1.3796265627208508,1.3763982559505261,1.3817189680902582,1.3817019211618524,1.383115617852462,1.3820651644154598,1.3773182693280672,1.3734756331694753,1.3788547264902216,1.3779894176282381
2,1.361535248003508,1.3398675730353908,1.3535836495851215,1.369808830712971,1.3765331004795276,1.3708157539367676,1.3739458887200606,1.3793250573308844,1.3621426695271541,1.3480459388933683,1.345662938921075,1.362033398527848
3,1.347698726152119,1.282223707751224,1.3125381595210026,1.357533197653921,1.3627267511267411,1.350899012465226,1.3619420591153597,1.36702771563279,1.3491251092208059,1.3165123588160466,1.3037944843894558,1.3515841584456594
4,1.3285443218130815,1.2126241545928151,1.2437762523952283,1.352466765202974,1.3475657387783653,1.3100558456621672,1.3577211342359845,1.3571121880882664,1.3225958410062288,1.2637188560084294,1.2255002824883712,1.3127895719126652
5,1.309820532798767,1.1438119725177163,1.175153832686575,1.2917223980552273,1.3329720873581736,1.248646340872112,1.3157668427417153,1.324775915396841,1.2938845973265798,1.212812210384168,1.1612734355424579,1.2594862988120632
6,1.2936702715723138,1.086619628103156,1.101579885733755,1.2392124251315468,1.3303867453023006,1.1988540699607448,1.2670640318017257,1.2769172693553723,1.2707257019846063,1.165442002447028,1.087080911586159,1.1849426093854403
7,1.2633270966379266,1.0057563248433565,1.0578995472506474,1.1557673341349552,1.2917382089715255,1.158179477641457,1.209041344492059,1.2448729213915373,1.2547542672408254,1.10211980342865,1.0010031649940891,1.1501132438057347
8,1.2435592350206877,0.9289572772226835,0.9642434308403417,1.081263150039472,1.2483582998576916,1.0754063003941585,1.1072177635995966,1.1743200264478986,1.2322000014154535,1.0348651503261768,0.9375809556559512,1.0710659089841341
9,1.2271906074724699,0.8654302986044633,0.886036681501489,0.9676451745786165,1.2226900552448474,1.0070999735280086,1.005029166999616,1.116486944650349,1.2245961615913792,0.9770124648746691,0.8705738249577974,0.9856584260338231
10,1.1992936510788768,0.787962584119094,0.820861678374441,0.9277429706171939,1.1858549619975842,0.9215123151478014,0.93819638929869,1.0054225294213546,1.1917084016297992,0.9292364089112533,0.7399250080710963,0.8081251586738386
11,1.1639612034747475,0.7043499601514716,0.705526003712102,0.8093843962016859,1.1550799670972323,0.8683735445926064,0.7985405859194303,0.9155246709522448,1.1633681372592324,0.8127876614269457,0.6459178799077084,0.7196240832931117
12,1.1281552502983494,0.6294102606020475,0.6005017412336249,0.6832903372614008,1.1213508279700029,0.7628701235118666,0.6553712361737302,0.865180680626317,1.113984879694487,0.7520688678088941,0.5347592226768795,0.6600988852350336
13,1.0932845818369012,0.5909875270567442,0.5152613316711626,0.620261455837049,1.081085951704728,0.6951802247448972,0.5669157128585013,0.7007269263267517,1.0880878818662543,0.6942478606575414,0.5118295613088106,0.5881062134316093
14,1.0764788577431126,0.515276529287037,0.44024497270584106,0.536495527154521,1.0491595958408557,0.6018910862897572,0.5184208907579121,0.5802234991600639,1.0665103824515092,0.6345686285119307,0.42424256864346954,0.3895953799548902
15,1.0323395603581478,0.46368943390093353,0.3295482773529856,0.41964434479412277,1.0063361494164718,0.5289131873532346,0.43016311996861506,0.44016214264066594,1.0349492524799548,0.539061891405206,0.31987632575787994,0.3296463536588769
16,1.0464466653372113,0.4006793577420084,0.24492018081639944,0.2605744443441692,0.9652087531591717,0.45263966447428655,0.34507642372658376,0.33888422972277593,1.0236229739691083,0.5485800802707672,0.2197072231455853,0.28594860983522313
17,0.9903529976543627,0.3727569172256871,0.2158196686129821,0.18839858786055916,0.9331561609318382,0.3892401441147453,0.2929976308032086,0.25990596570466695,0.9723653103175917,0.48423575884417486,0.20665095981798673,0.18854092963432012
18,0.9717526749560708,0.33848923758456584,0.22567629892575114,0.27693626480667216,0.9154356216129503,0.3373633129032035,0.2174650803208351,0.26702045453222173,0.9210013151168823,0.3846599773356789,0.18940584361553192,0.1587032130674312
19,0.9003309074201082,0.28269730665181814,0.18912661467727862,0.18663113015262703,0.8675303365054884,0.28027823645817607,0.1591441486226885,0.21163687894218847,0.9179164139848006,0.3174010264246087,0.15403828260145688,0.16467395660124326
20,0.8705740790618094,0.23681953863093727,0.16441152009524798,0.110190749168396,0.8205901478466234,0.2435342002856104,0.13192288852051684,0.14091756234043523,0.8807350804931239,0.2830498265592675,0.12391842940920278,0.14014819617334165
21,0.8272657112071389,0.22436407482937762,0.1460801998251363,0.06917560443674263,0.7737174598794234,0.22032016829440468,0.09076671655240812,0.09009044970336713,0.8211205005645752,0.25235666256201894,0.07418400362918251,0.1506587264961318
22,0.8096233167146382,0.22418696080383502,0.09813811198661201,0.04264956251963189,0.7316046890459562,0.1792854725530273,0.08961426603950952,0.04135052153938695,0.7875698679371884,0.20989113575533816,0.06989234568257081,0.2218443429783771
23,0.7613598892563268,0.15618789941072464,0.095750724014483,0.04400746308659252,0.7100924598543268,0.14020430963290365,0.08019261709169338,0.03107576871192769,0.7563599850002088,0.15784534694332825,0.07042464672734863,0.10984640411640469
24,0.7514754000462984,0.15518783777952194,0.08811099219479059,0.11421412856955278,0.6688757476053739,0.14286828315571734,0.0707636130483527,0.05806833696796706,0.6971095110240736,0.15062553866913445,0.04539639326302629,0.06723549256199285
