Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,56.25,30.208333333333332,55.90277777777778,39.583333333333336,30.208333333333332,41.31944444444444,46.52777777777778,52.77777777777778,51.736111111111114,44.94598765432099,44.95
2,51.736111111111114,33.68055555555556,53.81944444444444,39.93055555555556,28.47222222222222,35.06944444444444,38.888888888888886,53.81944444444444,48.263888888888886,42.63117283950617,42.63
3,41.666666666666664,31.59722222222222,44.44444444444444,35.763888888888886,29.86111111111111,39.236111111111114,46.18055555555556,43.05555555555556,44.791666666666664,39.62191358024691,39.62
Mean_Subjects,49.88425925925926,31.828703703703706,51.38888888888889,38.425925925925924,29.51388888888889,38.541666666666664,43.86574074074074,49.88425925925926,48.263888888888886,42.39969135802469,42.40 +/- 2.18
Std_Subjects,6.095923186233192,1.4269476858724492,4.983576421669211,1.8876743553588093,0.7500857289823911,2.598373185259682,3.522019457107164,4.84731286837313,2.835057572665718,2.1796985944175216,
