Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,45.138888888888886,27.430555555555557,40.625,32.291666666666664,26.38888888888889,32.638888888888886,40.27777777777778,42.013888888888886,35.416666666666664,35.80246913580247,35.80
2,41.666666666666664,26.73611111111111,48.611111111111114,28.125,29.86111111111111,28.47222222222222,44.09722222222222,46.875,36.80555555555556,36.80555555555556,36.81
3,42.361111111111114,26.38888888888889,40.625,31.944444444444443,27.77777777777778,29.86111111111111,42.708333333333336,42.708333333333336,34.02777777777778,35.37808641975309,35.38
Mean_Subjects,43.05555555555555,26.85185185185185,43.28703703703704,30.787037037037038,28.009259259259256,30.324074074074073,42.361111111111114,43.86574074074074,35.416666666666664,35.995370370370374,36.00 +/- 0.60
Std_Subjects,1.5001714579647811,0.43306219754328085,3.7646888813172685,1.8876743553588058,1.426947685872448,1.7322487901731198,1.5784932519659551,2.1466709480314137,1.1340230290662865,0.5985121542294288,
