Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,49.65277777777778,29.166666666666668,52.43055555555556,31.944444444444443,29.51388888888889,38.19444444444444,34.02777777777778,46.52777777777778,44.09722222222222,39.50617283950618,39.51
2,41.666666666666664,28.125,46.18055555555556,32.638888888888886,25.0,32.986111111111114,40.625,45.138888888888886,45.138888888888886,37.5,37.50
3,42.708333333333336,25.34722222222222,42.708333333333336,37.5,25.34722222222222,32.986111111111114,38.19444444444444,43.05555555555556,47.56944444444444,37.268518518518526,37.27
Mean_Subjects,44.675925925925924,27.546296296296294,47.10648148148149,34.02777777777778,26.62037037037037,34.72222222222222,37.61574074074074,44.90740740740741,45.60185185185185,38.09156378600824,38.09 +/- 1.00
Std_Subjects,3.5447668590540644,1.6120819765259404,4.022719258560826,2.471545891673916,2.0509311512348787,2.4552318791199546,2.724213494430513,1.4269476858724477,1.4548385520806173,1.0047337955053814,
