Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,39.93055555555556,25.0,41.31944444444444,33.333333333333336,26.041666666666668,29.166666666666668,32.638888888888886,46.18055555555556,37.84722222222222,34.60648148148148,34.61
2,35.416666666666664,22.569444444444443,42.708333333333336,38.19444444444444,32.291666666666664,33.333333333333336,38.541666666666664,37.5,40.97222222222222,35.72530864197531,35.73
3,43.40277777777778,29.166666666666668,52.083333333333336,34.02777777777778,32.638888888888886,37.84722222222222,40.97222222222222,45.138888888888886,40.27777777777778,39.50617283950617,39.51
Mean_Subjects,39.583333333333336,25.578703703703706,45.370370370370374,35.18518518518518,30.324074074074073,33.449074074074076,37.38425925925926,42.93981481481482,39.699074074074076,36.61265432098765,36.61 +/- 2.10
Std_Subjects,3.2695478916262823,2.724213494430515,4.780526950940599,2.1466709480314115,3.0314353828029597,3.5447668590540626,3.499124180053467,3.8699660873380757,1.339795937822943,2.0963906468852387,
