Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,38.888888888888886,31.25,55.90277777777778,32.986111111111114,27.083333333333332,36.80555555555556,39.93055555555556,47.22222222222222,53.81944444444444,40.4320987654321,40.43
2,51.041666666666664,32.291666666666664,59.375,39.583333333333336,31.59722222222222,41.666666666666664,45.833333333333336,56.25,49.30555555555556,45.21604938271605,45.22
3,42.708333333333336,29.86111111111111,47.56944444444444,36.458333333333336,26.38888888888889,30.90277777777778,48.263888888888886,43.05555555555556,46.875,39.120370370370374,39.12
Mean_Subjects,44.21296296296296,31.134259259259256,54.28240740740741,36.3425925925926,28.35648148148148,36.458333333333336,44.675925925925924,48.84259259259259,50.0,41.58950617283951,41.59 +/- 2.62
Std_Subjects,5.074145883514577,0.9956394985003033,4.953920036813125,2.694547853431207,2.309020525840278,4.4011929032017445,3.4991241800534647,5.507119098782555,2.8772691885777895,2.619671682409718,
