Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,53.47222222222222,30.208333333333332,53.47222222222222,32.291666666666664,30.555555555555557,35.416666666666664,37.15277777777778,50.69444444444444,48.263888888888886,41.28086419753087,41.28
2,41.666666666666664,30.555555555555557,49.65277777777778,36.80555555555556,22.916666666666668,35.06944444444444,40.97222222222222,48.958333333333336,48.958333333333336,39.50617283950618,39.51
3,37.84722222222222,27.083333333333332,45.833333333333336,28.125,28.47222222222222,32.291666666666664,35.763888888888886,37.84722222222222,43.75,35.223765432098766,35.22
Mean_Subjects,44.3287037037037,29.282407407407405,49.65277777777778,32.40740740740741,27.31481481481482,34.25925925925926,37.96296296296296,45.833333333333336,46.99074074074074,38.67026748971193,38.67 +/- 2.54
Std_Subjects,6.650813841925298,1.561427958707413,3.118563329932286,3.5447668590540644,3.2241639530518795,1.3985006913882607,2.202117776671349,5.691338357937151,2.3090205258402783,2.542461363706536,
