Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,44.44444444444444,29.166666666666668,44.09722222222222,35.06944444444444,33.68055555555556,35.06944444444444,41.666666666666664,47.22222222222222,48.958333333333336,39.93055555555555,39.93
2,44.791666666666664,33.333333333333336,57.986111111111114,33.68055555555556,30.208333333333332,38.888888888888886,47.56944444444444,53.81944444444444,44.09722222222222,42.708333333333336,42.71
3,48.611111111111114,32.291666666666664,47.56944444444444,32.291666666666664,31.944444444444443,37.5,44.44444444444444,50.0,44.44444444444444,41.010802469135804,41.01
Mean_Subjects,45.949074074074076,31.597222222222218,49.88425925925926,33.68055555555555,31.944444444444443,37.15277777777778,44.56018518518518,50.34722222222222,45.833333333333336,41.21656378600823,41.22 +/- 1.14
Std_Subjects,1.8876743553588093,1.7704928866641612,5.9016429555472065,1.1340230290662865,1.417528786332859,1.5784932519659551,2.411188270370331,2.7044725568397965,2.2142507488089125,1.1433184552928461,
