Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run,Mean_Run_PM
1,27.083333333333332,28.125,28.47222222222222,26.041666666666668,26.041666666666668,28.819444444444443,27.77777777777778,28.819444444444443,31.25,28.04783950617284,28.05
2,48.611111111111114,25.694444444444443,51.736111111111114,40.97222222222222,26.73611111111111,32.291666666666664,41.31944444444444,43.40277777777778,53.81944444444444,40.50925925925927,40.51
3,38.19444444444444,23.26388888888889,47.22222222222222,26.73611111111111,26.041666666666668,33.333333333333336,34.72222222222222,43.40277777777778,48.958333333333336,35.763888888888886,35.76
Mean_Subjects,37.96296296296296,25.694444444444443,42.476851851851855,31.25,26.27314814814815,31.48148148148148,34.60648148148149,38.541666666666664,44.675925925925924,34.77366255144033,34.77 +/- 5.14
Std_Subjects,8.790202567614596,1.9845403008660008,10.072769778719714,6.880492568380485,0.3273642505493268,1.9297837963579951,5.52896801504453,6.87464926153588,9.69877021534103,5.135312824952714,
