,Method,mean,std,min,max
0,Baseline,51.40174897119342,3.5994219422845903,47.260802469135804,53.78086419753086
1,FreqAug,54.42386831275721,2.4791623839713828,51.620370370370374,56.327160493827165
2,GausAug,54.68106995884773,1.4539857244370877,53.3179012345679,56.21141975308642
