Run,Subj1,Subj2,Subj3,Subj4,Subj5,Subj6,Subj7,Subj8,Subj9,Mean_Run
1,27.77777777777778,20.833333333333336,32.29166666666667,31.944444444444443,29.166666666666668,27.77777777777778,27.430555555555557,35.06944444444444,38.19444444444444,30.054012345679016
2,27.77777777777778,20.833333333333336,32.29166666666667,31.944444444444443,29.166666666666668,27.77777777777778,27.430555555555557,35.06944444444444,38.19444444444444,30.054012345679016
3,27.77777777777778,20.833333333333336,32.29166666666667,31.944444444444443,29.166666666666668,27.77777777777778,27.430555555555557,35.06944444444444,38.19444444444444,30.054012345679016
Mean_Subjects,27.777777777777782,20.833333333333336,32.29166666666667,31.944444444444443,29.166666666666668,27.777777777777782,27.430555555555557,35.06944444444444,38.19444444444444,30.054012345679016
Std_Subjects,3.552713678800501e-15,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0
